# ANALYSIS SCRIPT: main_postprocessing.py
# PATH TO RAW DATA: ../numExp01_small_systems/data_N8/
# EQUILIBRATION TIME: t_eq = 500000.000000
# TIMESTAMP: 2022-02-25 09:00:05.626979
# (h) (Ts) (Ts_err) (m_av) (m_serr) (chi) (chi_err) (theta_av) (theta_var) (theta_var_err)
0.5996570608108708 1.2047731231084187 0.018152748644509716 0.4725696077380061 0.0022331027161143205 0.0598010789066801 0.0018556781393940676 0.0005092604715189581 1.6475935182020454 0.023236438573098542
0.6178847618214175 1.2025234832723868 0.017940140075118734 0.45395645425984615 0.002354482327518757 0.06647869567093284 0.002032683825350845 0.010449081375744853 1.6804974101828318 0.0204054071310667
0.637313776663784 1.2170409145854963 0.018617364439440627 0.43493679416744924 0.0024704831144652553 0.0731906155317445 0.002800538242881618 -7.268549836795598e-05 1.7757731419319431 0.02259874652292863
0.6555361258241432 1.2522358851699935 0.01922604924109879 0.4213540594099823 0.0026119385220670214 0.08181209633394722 0.003027172914984743 0.0040003732674534906 1.8151309751167264 0.020659701596781446
0.6746383777736149 1.2512360932298843 0.018045312579115163 0.4001600473971673 0.002693337977992849 0.08699080100867373 0.003187633052116201 0.0030509117988962928 1.887806829933199 0.01899500511089764
0.6929722448298348 1.2632937662874566 0.019512951816333557 0.38267500212697997 0.002907126595302372 0.10134900941304344 0.003831094575238573 -0.004615690258402979 1.97002968516247 0.023664301604760463
0.7116441902944574 1.2881031041669475 0.01898739309588315 0.3627789061158246 0.0029595912648778095 0.10504009201805149 0.003181017145714117 -0.010831172008218043 2.026121336688301 0.02570754641482241
0.7310095651664755 1.3393602563660187 0.01954709709193894 0.34389555859084514 0.0031871907944251944 0.1218169564395438 0.004270117100530984 -0.004886076610974225 2.087280816052171 0.022036190305185936
0.7497028306705112 1.3944295886389504 0.020752896280395557 0.3286991482895634 0.003265723102262196 0.12789404898874301 0.0049272545730502364 0.008298689606647546 2.1322466747593105 0.0186188297434594
0.7681416049902642 1.419424811811922 0.020274152888270846 0.3130196184701699 0.003296515757063932 0.13031725750975684 0.004284676090290126 -0.006664750617483163 2.221543663823085 0.027412207316327954
0.7877196653216443 1.5028487080832074 0.020133910976324706 0.3017048137237783 0.0032873219984267395 0.12959137916871372 0.004251297515184184 0.0001844043730548724 2.2511768078804275 0.023425915504454973
0.8065840415361715 1.581822618423695 0.020584887808311417 0.2906183350671492 0.003296697934004791 0.13033166147871283 0.0032639438312502727 -0.009579672751801766 2.2978401343193506 0.02011752677782616
0.8241917788878141 1.676683379054736 0.019963850750241527 0.28427416826597535 0.0033057941497627967 0.1310518733275863 0.0046374683762039366 0.013507953124312235 2.2934582026558816 0.02275171601669142
0.8438666155108435 1.7641081515697647 0.01945694017188962 0.27539459645298414 0.003246872430566532 0.12642182951983338 0.004511674500639698 -0.005509848388500449 2.3630525769688724 0.026739024283047173
0.8621256454129337 1.9040064259874543 0.019810079235046935 0.27293992153169855 0.0032656393289591233 0.12788748752032053 0.0032871254656510673 -0.008144853977845432 2.3530481589083334 0.023232403718616595
0.8811700345547137 2.023245233866269 0.0200701377796837 0.26772897737703205 0.0033032986969354704 0.1308540931158575 0.003680821159610697 0.007694404574156421 2.3997173295337966 0.027214326935775485
0.8999283987048482 2.139023545328749 0.01983678966773207 0.26085332555097646 0.003173852109866026 0.12079945988588975 0.005592796433809497 0.007352666365860641 2.3997654096630083 0.02236410971845271
