# ANALYSIS SCRIPT: main_postprocessing.py
# PATH TO RAW DATA: ../numExp01_small_systems/data_N64/
# EQUILIBRATION TIME: t_eq = 500000.000000
# TIMESTAMP: 2022-02-25 09:00:11.624310
# (h) (Ts) (Ts_err) (m_av) (m_serr) (chi) (chi_err) (theta_av) (theta_var) (theta_var_err)
0.599347245117824 1.3188949714849472 0.007452229846774027 0.3654022900111586 0.0011457652179137365 0.12594266393195414 0.004898244927883653 -0.0011546424796123444 1.9827507663878723 0.008814952584932718
0.6196910023497537 1.3422997786256747 0.0077152988437914575 0.34525857770487306 0.001225320129957595 0.14403921420147658 0.004593764745362565 0.0010868325948583059 2.0564237696269103 0.008793521052592642
0.6365736263575186 1.3656147869490278 0.007772526898161832 0.326222724375121 0.0012979535198622107 0.16162178087963702 0.0042562075771746775 -0.004503114980042296 2.117808811496212 0.007110958025076143
0.6556968511762131 1.3827931541954803 0.007953521845205418 0.3017706198968654 0.0014370171457267346 0.19810959343307552 0.006960561125330416 7.500653105290447e-05 2.20337037138938 0.0075221912152517514
0.6747341850293969 1.3817559026663135 0.007981121396797243 0.27266649259602355 0.0015880796833705945 0.24195031193733993 0.008795745385162526 0.0002294053942459359 2.305666207470627 0.008980993251278047
0.6946987073616644 1.4311105876061871 0.008020067881090791 0.25038429883048974 0.0016893026755103039 0.2737767392447949 0.010774668067042604 -0.003978802724263888 2.3908307431619362 0.010465393057231244
0.7116924460617127 1.4380536419141765 0.007812177547538973 0.2191633432229401 0.0018218840822762927 0.3184366817451737 0.011175295100539285 -0.00071969739603344 2.5037953803017783 0.008265089016509733
0.7312589997708322 1.5055796918177033 0.007383055901170382 0.19601740796234476 0.0018349514659291798 0.32302100970183356 0.0099527256315928 -0.0033796232280808346 2.5884929191756694 0.007499520065523459
0.7492740487216535 1.5713090650427335 0.007014175428360303 0.17548039675230348 0.0018417879650278455 0.32543245947353555 0.011238147200304284 -0.0004556686929730264 2.6575333276259596 0.00931903793073285
0.7690350709929007 1.6635627990925854 0.0068495732194139005 0.15465276144738366 0.0018084970465186382 0.3137741881172916 0.010083980930680823 0.007299957532389762 2.743593962335556 0.00711302596430838
0.7878747799164983 1.8039548477387028 0.006822326783543 0.1490464527996762 0.0017488755481244599 0.2934265573477514 0.011023101350009152 -0.0051086417820852305 2.766229447926466 0.009563058305553826
0.8067727645320037 1.930600240398527 0.0068045387942430305 0.13620675176448357 0.0016771676529211996 0.26985754321099525 0.00852838696720671 0.0028618896297175926 2.7989531439705844 0.009289677967547625
0.8245931453347886 2.071955354411999 0.006845282457308435 0.1308653285342103 0.0016641340184872593 0.265679597132694 0.008439668033379711 0.004306981503122749 2.831447081654964 0.007845942297084818
0.8432241327305022 2.2110439334118137 0.006831045664902154 0.12279079202113437 0.0016405635003889335 0.25820681277528174 0.009165579909770055 -0.003535800109862845 2.849538983827953 0.008326074628866911
0.8625994757412075 2.406133281700631 0.007303133936514327 0.12429327676638886 0.0015712920102427758 0.236862010470254 0.010146254595518947 0.0003991848329976606 2.8504081801103505 0.008493652436219778
0.8820716447955722 2.575680815514358 0.007136229463917688 0.11539926960841791 0.0014947255249948635 0.21434063284554736 0.008221141417375507 0.0008847958317914704 2.885156439489527 0.009373226475574566
0.9008491918931814 2.800046703980074 0.008906545198486155 0.11532503330780289 0.0015401595876944566 0.22756897547489074 0.010407734654984933 0.0036461736034470345 2.8917671275873365 0.010088490476914198
